"Internal_PN","Manufacturer","Part_Number","Category","Rad_Hard","Specs","Project_History","Status","Datasheet_Link"
"SPC-FPGA-001","Microchip","RTG4","Processing & Logic","True","150k LE, 300MHz, Radiation-Hardened","Mars-Rover-V2","Flight Proven",""
"SPC-TRX-022","Smiths Interconnect","SpaceABLE 28G","Data & Comms","True","4x28Gbps, <6mm height, 100krad","Sat-Constellation-V1","Flight Proven",""
"BULK-IMPORT","Renesas","Renesas-CATALOG-2","Power Management, Rad-Hard Analog","True","Imported from Space &amp; Harsh Environment | Renesas","Catalog Import","Prototyping Only","https://www.renesas.com/us/en/products/space-harsh-environment"
"SPACE-0004","Microchip","RT54SX72S","FPGA","True","FPGA, Rad-Hard, 72k gates","Space Qualification DB","Prototyping Only","https://microchip.com"
"SPACE-0005","Microchip","RTSX150T","FPGA","True","FPGA, Space-qualified, 150k LUT","Space Qualification DB","Prototyping Only","https://microchip.com"
"SPACE-0006","Renesas","ISL71091","Analog","True","Voltage Reference, Precision, Rad-Hard","Space Qualification DB","Prototyping Only","https://renesas.com"
"SPACE-0007","Renesas","ISL21090","Analog","True","Reference, Low Noise, Space","Space Qualification DB","Prototyping Only","https://renesas.com"
"SPACE-0008","Renesas","ISL70001","Power Management","True","Rad-Hard Buck Converter","Space Qualification DB","Prototyping Only","https://renesas.com"
"SPACE-0009","Renesas","ISL6560","Power Management","True","Multi-phase regulator","Space Qualification DB","Prototyping Only","https://renesas.com"
"SPACE-0010","STMicroelectronics","STA5731-AA","Power Management","True","Single Channel LDO, Rad-Hard","Space Qualification DB","Prototyping Only","https://stmicroelectronics.com"
"SPACE-0011","STMicroelectronics","H7140","Analog","True","Precision Comparator, Space","Space Qualification DB","Prototyping Only","https://stmicroelectronics.com"
"SPACE-0012","STMicroelectronics","HD3-1711","Memory","True","SRAM, 16k, Rad-Hard","Space Qualification DB","Prototyping Only","https://stmicroelectronics.com"
"SPACE-0013","STMicroelectronics","M58LW016","Memory","True","Flash Memory, Rad-Hard","Space Qualification DB","Prototyping Only","https://stmicroelectronics.com"
